"","settings","features","rm","train.AUC","avg.test.AUC","var.test.AUC","avg.diff.AUC","var.diff.AUC","avg.test.orMTP","var.test.orMTP","avg.test.or10pct","var.test.or10pct","AICc","delta.AICc","w.AIC","parameters"
"21","LQP_0.15","LQP",0.15,0.8494,0.765236363636364,0.0421848910254056,0.0860261847329011,0.0472786389348664,0.0888888888888889,0.0266666666666667,0.245328282828283,0.0501639926198007,3211.34529467285,0,0.118643903144296,12
"22","LQP_0.05","LQP",0.05,0.8455,0.747643055555556,0.0445947151099537,0.0988869748479823,0.0451298981827256,0.0777777777777778,0.0162962962962963,0.250883838383838,0.0489574830799578,3214.08600688624,0,0.236329948819117,12
"23","LQP_0.05","LQP",0.05,0.8477,0.754822601010101,0.0453242466427054,0.095243540504548,0.046187558993353,0.0777777777777778,0.0162962962962963,0.24520202020202,0.0504774172703466,3211.33905174045,0,0.144850781237416,12
"24","LQP_0.05","LQP",0.05,0.8523,0.769068497474747,0.0477496797229277,0.0859894696341525,0.0516985805985454,0.0777777777777778,0.0162962962962963,0.217424242424242,0.0585582253511546,3212.59376264984,0,0.148462353432585,12
"25","LQP_0.1","LQP",0.1,0.8487,0.765133775252525,0.0426137619630371,0.0856308599050204,0.0452967309030763,0.05,0.00539094650205761,0.228661616161616,0.0552650027208108,3218.92722657389,0,0.132653099312615,12
"26","LQP_1","LQP",1,0.8348,0.776645833333333,0.0141262630729167,0.059818407960199,0.0170441934608364,0.0388888888888889,0.00275720164609053,0.173106060606061,0.0208280405060708,3227.27987792072,0,0.169471055905889,11
"27","LQP_0.25","LQP",0.25,0.8496,0.78054577020202,0.0331715179787817,0.0714376115005779,0.0374650332855741,0.0777777777777778,0.0162962962962963,0.211994949494949,0.0474442021222324,3215.17078732269,0,0.131620535803064,11
"28","LQ_0.55","LQ",0.55,0.8567,0.790489898989899,0.0158356108004285,0.0700911402583044,0.0175649878835112,0.0666666666666667,0.0111934156378601,0.189772727272727,0.0254389645614393,3230.28544505874,0,0.0531305833414584,9
"29","LQP_0.05","LQP",0.05,0.8501,0.771857323232323,0.0458728107015228,0.0817954394693201,0.047260248040921,0.0722222222222222,0.0136213991769547,0.228535353535354,0.0545851613780907,3215.59266528657,0,0.202884745548678,12
"30","LQP_1","LQP",1,0.8476,0.786292676767677,0.0200761146240817,0.0656881551836776,0.0242694958497513,0.0611111111111111,0.00901234567901235,0.178535353535354,0.015385759956467,3230.80240350161,0,0.14435876168678,9
"31","LQP_6.55","LQP",6.55,0.8155,0.789503156565657,0.00271223950044957,0.0304257198854214,0.00204307742444418,0.0222222222222222,0.00197530864197531,0.0952020202020202,0.00349649695609292,3290.12271284719,0,0.0583844411534071,7
"32","LQP_0.8","LQP",0.8,0.8455,0.781468244949495,0.0230703035788161,0.064541311435248,0.0255795942704178,0.0166666666666667,0.000452674897119342,0.19520202020202,0.0391792504166242,3221.28827868423,0,0.0875992377209007,10
"33","LQ_0.35","LQ",0.35,0.8583,0.792028724747475,0.02988568364233,0.068632227436052,0.0328223018994446,0.0444444444444444,0.00395061728395062,0.223106060606061,0.0574591665816413,3228.7162737214,0,0.0709302083939439,9
"34","LQP_0.5","LQP",0.5,0.8515,0.781186616161616,0.0244575848107974,0.0715714407759184,0.0253156198983544,0.0111111111111111,0.000164609053497942,0.234217171717172,0.0345523203414618,3219.77314102937,0,0.121898310545786,11
"35","LQ_0.3","LQ",0.3,0.8605,0.791852777777778,0.030615647662037,0.0715004836926478,0.037094076102735,0.0833333333333333,0.0192181069958848,0.211994949494949,0.0474442021222324,3235.18430622028,0,0.0611767792604496,9
"36","LQP_0.05","LQP",0.05,0.8451,0.757769002525252,0.0468191170145943,0.0928834784411277,0.0511811629082755,0.0722222222222222,0.0136213991769547,0.239646464646465,0.0515997517260143,3214.26436250082,0,0.232629087421887,12
"37","LQP_0.55","LQP",0.55,0.8505,0.790854797979798,0.0225680442307545,0.0629503015226896,0.0261701562201194,0.0222222222222222,0.00065843621399177,0.184217171717172,0.0267277786280312,3219.44553316597,0,0.087132972583215,11
"38","LQP_0.05","LQP",0.05,0.8545,0.756607133838384,0.0513378956895063,0.0979074805894768,0.0514149219943444,0.0888888888888889,0.0266666666666667,0.256313131313131,0.0460105261367887,3216.4501322778,0,0.191507377999654,12
"39","LQP_0.4","LQP",0.4,0.8473,0.781747601010101,0.0253370806368132,0.0705250414593698,0.0299750398929069,0.05,0.00539094650205761,0.19520202020202,0.0279858347787641,3213.93693039732,0,0.118875484573994,11
"40","LQP_0.5","LQP",0.5,0.8539,0.787008080808081,0.0269445918503214,0.0683529473842907,0.0292540075139591,0.0111111111111111,0.000164609053497942,0.211994949494949,0.0411890580893106,3211.22764468771,0,0.117980026795256,11
