"","settings","features","rm","train.AUC","avg.test.AUC","var.test.AUC","avg.diff.AUC","var.diff.AUC","avg.test.orMTP","var.test.orMTP","avg.test.or10pct","var.test.or10pct","AICc","delta.AICc","w.AIC","parameters"
"26","LQP_0.05","LQP",0.05,0.8518,0.765318295454545,0.0451552497739607,0.0889814074199708,0.0474492922423781,0.0777777777777778,0.0162962962962963,0.239646464646465,0.0515997517260143,3209.32386738213,0,0.172366241973299,12
"27.1","LQP_0.05","LQP",0.05,0.8477,0.76221023989899,0.045754277762555,0.086595684644957,0.0471256984161574,0.0777777777777778,0.0162962962962963,0.234090909090909,0.052968999761929,3209.68559242371,0,0.214130724783152,12
"28","LQP_0.1","LQP",0.1,0.8544,0.769700946969697,0.0409779264498216,0.0877657072591587,0.0444312853380668,0.0777777777777778,0.0162962962962963,0.234090909090909,0.052968999761929,3210.41096276046,0,0.171078149046627,12
"29","LQP_0.05","LQP",0.05,0.8536,0.767559532828283,0.0463498617775535,0.0875563170887984,0.0478914859754583,0.0777777777777778,0.0162962962962963,0.239772727272727,0.0516174157398905,3209.1783512566,0,0.214702604665546,12
"30","LQP_0.2","LQP",0.2,0.8553,0.778552702020202,0.0377162185194119,0.0795726683501684,0.0402905005783194,0.0777777777777778,0.0162962962962963,0.234217171717172,0.0533177524402272,3210.01366353355,0,0.125479900021915,12
"31","LQP_0.1","LQP",0.1,0.8538,0.767920328282828,0.0447718362635962,0.0870058491632745,0.0471359536124623,0.0777777777777778,0.0162962962962963,0.234217171717172,0.0533177524402272,3209.90416724425,0,0.155456940837996,12
"32","LQP_0.1","LQP",0.1,0.8516,0.765335669191919,0.0460063783071869,0.0897726160862355,0.0484342571950535,0.0777777777777778,0.0162962962962963,0.239646464646465,0.0515997517260143,3210.73121647435,0,0.174759307037498,12
"33","LQP_0.15","LQP",0.15,0.8562,0.778517727272727,0.0369595843609657,0.081380849288909,0.0407539274038306,0.0777777777777778,0.0162962962962963,0.234217171717172,0.0533177524402272,3212.9502484641,0,0.139775090702605,12
"34","LQP_0.1","LQP",0.1,0.8533,0.773168863636364,0.0433292011555613,0.0831783208955224,0.0461085305054183,0.0777777777777778,0.0162962962962963,0.234090909090909,0.052968999761929,3209.49698692191,0,0.11396659649853,12
"35","LQP_0.05","LQP",0.05,0.8493,0.760726881313131,0.0464738150645561,0.0917345766747072,0.0497764204636651,0.0833333333333333,0.0192181069958848,0.239646464646465,0.0515997517260143,3210.01870672276,0,0.145858792475735,12
"36","LQP_0.1","LQP",0.1,0.8525,0.771553535353535,0.0423248226542394,0.0838380182421227,0.0441085734406386,0.0722222222222222,0.0136213991769547,0.239646464646465,0.0515997517260143,3210.79122923902,0,0.167538373574033,12
"37","LQP_0.1","LQP",0.1,0.8525,0.768880883838384,0.0443396405437309,0.0860307634805769,0.0465026161296806,0.0777777777777778,0.0162962962962963,0.239646464646465,0.0515997517260143,3209.1220659258,0,0.172773317612594,12
"38","LQP_0.1","LQP",0.1,0.8564,0.774001527777778,0.0418885954284144,0.0857685482310669,0.0449999407211689,0.0777777777777778,0.0162962962962963,0.239646464646465,0.0515997517260143,3216.23009839726,0,0.179329338865409,12
"39","LQP_0.15","LQP",0.15,0.8516,0.775823914141414,0.0383978214617902,0.0779396099050204,0.0415127895752802,0.0777777777777778,0.0162962962962963,0.217424242424242,0.0585582253511546,3211.14983630225,0,0.127322975996152,12
"40","LQP_0.1","LQP",0.1,0.8533,0.772181136363636,0.0393406265843492,0.0837608094627871,0.0427580220971823,0.0777777777777778,0.0162962962962963,0.239646464646465,0.0515997517260143,3209.65498601235,0,0.185153880544877,12
